ID,Words
1,abdomen
2,absent
3,abstract
4,accident
5,achieve
6,active
7,address
8,admit
9,Africa
10,agenda
11,agent
12,agree
13,algebra
14,alive
15,ally
16,ample
17,animal
18,announce
19,apocalypse
20,appeal
21,arid
22,aroma
23,asparagus
24,astronomy
25,balance
26,balance
27,ballad
28,balloon
29,banal
30,barracuda
31,basilica
32,blossom
33,bonanza
34,bother
35,bottle
36,bottom
37,Brazil
38,buffalo
39,busy
40,cabbage
41,canal
42,canoe
43,carrot
44,cemetery
45,chicken
46,combat
47,comedy
48,common
49,complete
50,compress
51,computer
52,conduct
53,confine
54,conflict
55,constitute 
56,constitutional 
57,constitutionality 
58,contrast
59,convict
60,cookie
61,correct
62,corrupt
63,country
64,December
65,democracy 
66,democrat 
67,democratic 
68,differ
69,digest
70,dimple
71,diploma
72,diplomacy 
73,diplomat 
74,diplomatic 
75,director
76,discharge
77,distance
78,divine
79,early
80,empire
81,enigma
82,escort
83,experiment
84,export
85,extract
86,father
87,figure
88,fluent
89,furnish
90,gazelle
91,giraffe
92,harmonica
93,harvest
94,hippopotamus
95,honest
96,horizon
97,husband
98,implant
99,import
100,import
101,increase
102,insert
103,insult
104,intend
105,intense
106,interfere
107,Japan
108,July
109,machine
110,mundane
111,obscene
112,obscure
113,okay
114,origin
115,origin 
116,original 
117,originality 
118,parade
119,perfect
120,permit
121,photograph 
122,photographic 
123,photography 
124,policy
125,precise
126,predict
127,progress
128,project
129,proper
130,protest
131,punish
132,ready
133,rebel
134,refund
135,refuse
136,reject
137,reply
138,retard
139,robust
140,sardine
141,secure
142,serene
143,shampoo
144,sincere
145,solid
146,spinach
147,subject
148,sudden
149,surface
150,suspect
151,thermometer
152,Tibet
153,tomato
154,transfer
155,typhoon
156,visit
157,vitamin
158,vulgar
159,yellow
160,zipper